Ref,Val,Package,PosX,PosY,Rot,Side
" ","ERJ-1TNF43R2U","RESC6432X70N",157.124400,-85.017800,270.000000,top
" ","ERJ-1TNF88R7U ","RESC6432X70N",144.126375,-85.017800,90.000000,top
" ","CRCW25120000Z0EG","RESC6331X70N",148.443050,-85.067800,90.000000,top
" ","ERJ-1TNF14R3U","RESC6432X70N",152.759725,-85.017800,90.000000,top
